f_lo,f_hi,band-power,SINDy,DMD,CEBRA
4.0,20.0,0.5831111111111111,0.9457777777777778,0.41355555555555557,0.7922222222222223
6.0,20.0,0.5366666666666667,0.9768888888888888,0.4646666666666667,0.9829629629629629
6.0,40.0,0.5484444444444445,0.9684444444444444,0.48711111111111116,0.9548148148148149
8.0,60.0,0.5671111111111111,0.9546666666666667,0.46355555555555555,0.9974074074074074
10.0,30.0,0.5860000000000001,0.8879999999999999,0.4271111111111111,0.9455555555555556
